Node ID,Node Path,Query
3781381,Beauty/Hair Care/Shampoo Plus Conditioner,item_type_keyword:shampoo-plus-conditioners
11057651,Beauty/Hair Care/Shampoos,item_type_keyword:hair-shampoos
11057841,Beauty/Hair Care/Styling Products,item_type_keyword:hair-care-styling-products
3782071,Beauty/Hair Care/Styling Products/Braid Maintenance,item_type_keyword:braid-maintenance-products
11057871,"Beauty/Hair Care/Styling Products/Creams, Gels & Lotions",item_type_keyword:( hair-styling-creams OR hair-styling-gels OR hair-styling-lotions )
3781751,Beauty/Hair Care/Styling Products/Curl Enhancers,item_type_keyword:curl-enhancers
13105931,Beauty/Hair Care/Styling Products/Hair Extensions & Wigs,
702379011,Beauty/Hair Care/Styling Products/Hair Extensions & Wigs/Hair Extensions,item_type_keyword:hair-extensions
702380011,Beauty/Hair Care/Styling Products/Hair Extensions & Wigs/Hairpieces,item_type_keyword:hairpieces
702381011,Beauty/Hair Care/Styling Products/Hair Extensions & Wigs/Wigs,item_type_keyword:hair-replacement-wigs
11057891,Beauty/Hair Care/Styling Products/Hair Sprays,item_type_keyword:hair-sprays
382803011,Beauty/Hair Care/Styling Products/Hair Styling Serums,item_type_keyword:hair-styling-serums
11057901,Beauty/Hair Care/Styling Products/Mousses & Foams,item_type_keyword:( hair-styling-mousses OR hair-styling-foams )
11057931,Beauty/Hair Care/Styling Products/Pomades & Waxes,item_type_keyword:( pomades OR hair-styling-waxes )
11058091,Beauty/Hair Care/Styling Tools,item_type_keyword:hair-styling-products
3784241,Beauty/Hair Care/Styling Tools/Braiders,item_type_keyword:hair-braiders
11058121,Beauty/Hair Care/Styling Tools/Brushes,item_type_keyword:hair-brushes
11058131,Beauty/Hair Care/Styling Tools/Combs,item_type_keyword:hair-combs
11058111,Beauty/Hair Care/Styling Tools/Diffusers,item_type_keyword:hair-dryer-diffusers
11058141,Beauty/Hair Care/Styling Tools/Hair Dryers,item_type_keyword:hair-dryers
3784371,Beauty/Hair Care/Styling Tools/Hair Rollers,item_type_keyword:hair-rollers
11058221,Beauty/Hair Care/Styling Tools/Hot-Air Brushes,item_type_keyword:hot-air-brushes
11058231,Beauty/Hair Care/Styling Tools/Irons,item_type_keyword:hair-styling-irons
3784341,Beauty/Hair Care/Styling Tools/Irons/Crimping Irons,item_type_keyword:crimping-irons
11058251,Beauty/Hair Care/Styling Tools/Irons/Curling Irons,item_type_keyword:curling-irons
11058261,Beauty/Hair Care/Styling Tools/Irons/Flattening Irons,item_type_keyword:flattening-irons
11057971,Beauty/Hair Care/Styling Tools/Styling Accessories,
11057981,Beauty/Hair Care/Styling Tools/Styling Accessories/Barrettes,item_type_keyword:hair-barrettes
11057991,Beauty/Hair Care/Styling Tools/Styling Accessories/Claws,item_type_keyword:hair-claws
3784401,Beauty/Hair Care/Styling Tools/Styling Accessories/Clips,item_type_keyword:hair-clips
11058011,Beauty/Hair Care/Styling Tools/Styling Accessories/Decorative Combs,item_type_keyword:decorative-hair-combs
3784491,Beauty/Hair Care/Styling Tools/Styling Accessories/Hair Drying Towels,item_type_keyword:hair-drying-towels
3784391,Beauty/Hair Care/Styling Tools/Styling Accessories/Hair Pins,item_type_keyword:hair-pins
11058041,Beauty/Hair Care/Styling Tools/Styling Accessories/Hair Sticks,item_type_keyword:hair-sticks
11058051,Beauty/Hair Care/Styling Tools/Styling Accessories/Headbands,item_type_keyword:fashion-headbands
11058071,Beauty/Hair Care/Styling Tools/Styling Accessories/Ponytail Holders,item_type_keyword:ponytail-holders
