Node ID,Node Path,Query
12897431,"Arts, Crafts & Sewing/Art Supplies/Painting/Paintbrushes",item_type_keyword:artists-paintbrushes
1285271011,"Arts, Crafts & Sewing/Art Supplies/Painting/Paintbrushes/Angled Paintbrushes",item_type_keyword:artists-angled-paintbrushes
12897441,"Arts, Crafts & Sewing/Art Supplies/Painting/Paintbrushes/Bright Paintbrushes",item_type_keyword:artists-bright-paintbrushes
12897451,"Arts, Crafts & Sewing/Art Supplies/Painting/Paintbrushes/Fan Paintbrushes",item_type_keyword:artists-fan-paintbrushes
12897461,"Arts, Crafts & Sewing/Art Supplies/Painting/Paintbrushes/Filbert Paintbrushes",item_type_keyword:artists-filbert-paintbrushes
12897481,"Arts, Crafts & Sewing/Art Supplies/Painting/Paintbrushes/Hake Paintbrushes",item_type_keyword:artists-hake-paintbrushes
12897491,"Arts, Crafts & Sewing/Art Supplies/Painting/Paintbrushes/Highliner Paintbrushes",item_type_keyword:artists-highliner-paintbrushes
12897501,"Arts, Crafts & Sewing/Art Supplies/Painting/Paintbrushes/Letterer Paintbrushes",item_type_keyword:artists-letterer-paintbrushes
12897511,"Arts, Crafts & Sewing/Art Supplies/Painting/Paintbrushes/Mop Paintbrushes",item_type_keyword:artists-mop-paintbrushes
12897521,"Arts, Crafts & Sewing/Art Supplies/Painting/Paintbrushes/One-Stroke Paintbrushes",item_type_keyword:artists-one-stroke-paintbrushes
12897531,"Arts, Crafts & Sewing/Art Supplies/Painting/Paintbrushes/Oval-Wash Paintbrushes",item_type_keyword:artists-oval-wash-paintbrushes
12897541,"Arts, Crafts & Sewing/Art Supplies/Painting/Paintbrushes/Paintbrush Sets",item_type_keyword:artists-paintbrush-sets
12897551,"Arts, Crafts & Sewing/Art Supplies/Painting/Paintbrushes/Pointed-Round Paintbrushes",item_type_keyword:artists-pointed-round-paintbrushes
12897561,"Arts, Crafts & Sewing/Art Supplies/Painting/Paintbrushes/Quill Paintbrushes",item_type_keyword:artists-quill-paintbrushes
12897571,"Arts, Crafts & Sewing/Art Supplies/Painting/Paintbrushes/Round Paintbrushes",item_type_keyword:artists-round-paintbrushes
12897591,"Arts, Crafts & Sewing/Art Supplies/Painting/Paintbrushes/Script Paintbrushes",item_type_keyword:artists-script-paintbrushes
12897601,"Arts, Crafts & Sewing/Art Supplies/Painting/Paintbrushes/Sign-Writer Paintbrushes",item_type_keyword:artists-sign-writer-paintbrushes
12897611,"Arts, Crafts & Sewing/Art Supplies/Painting/Paintbrushes/Square-Wash Paintbrushes",item_type_keyword:artists-square-wash-paintbrushes
12897691,"Arts, Crafts & Sewing/Art Supplies/Painting/Paints",item_type_keyword:art-paints
12897951,"Arts, Crafts & Sewing/Art Supplies/Painting/Palette Knives",item_type_keyword:art-palette-knives
12897961,"Arts, Crafts & Sewing/Art Supplies/Painting/Palettes & Palette Cups",
2933686011,"Arts, Crafts & Sewing/Art Supplies/Painting/Palettes & Palette Cups/Palette Cups",item_type_keyword:art-palette-cups
2933685011,"Arts, Crafts & Sewing/Art Supplies/Painting/Palettes & Palette Cups/Palettes",item_type_keyword:art-palettes
12896081,"Arts, Crafts & Sewing/Beading & Jewelry-Making",item_type_keyword:jewelry-making-supplies
12896091,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Bead Looms",item_type_keyword:bead-looms
262593011,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Beading Cords & Threads",item_type_keyword:beading-cord
262594011,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Beading Hardware",item_type_keyword:beading-hardware
12896101,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Beading Kits",item_type_keyword:beading-kits
12896111,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Beading Tools",item_type_keyword:beading-tools
12896121,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Beads & Bead Assortments",item_type_keyword:loose-beads
12896131,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Casting Machines",item_type_keyword:jewelry-casting-machines
12896141,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Casting Metals",item_type_keyword:casting-metals
262595011,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Charms",item_type_keyword:jewelry-making-charms
3097795011,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Earring Backs",item_type_keyword:earring-backs-and-findings
12896151,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Engraving",item_type_keyword:engraving-tools
12896161,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Jewelry Findings",item_type_keyword:jewelry-findings
3298701011,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Jewelry Findings/Jewelry Clasps",item_type_keyword:jewelry-clasps
3298709011,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Jewelry Findings/Jump Rings",item_type_keyword:jewelry-making-jump-rings
3298711011,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Jewelry Findings/Pin Backs",item_type_keyword:jewelry-making-pin-backs
3298708011,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Jewelry-Making Chains",item_type_keyword:jewelry-making-chains
3298710011,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Jewelry-Making Display & Packaging",item_type_keyword:jewelry-making-organizer-boxes
12896171,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Jewelry-Making Kits",item_type_keyword:jewelry-making-kits
12896181,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Jewelry-Making Tools & Accessories",
2933688011,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Jewelry-Making Tools & Accessories/Jewelry-Making Accessories",item_type_keyword:jewelry-making-accessories
2933687011,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Jewelry-Making Tools & Accessories/Jewelry-Making Tools",item_type_keyword:jewelry-making-tools
12896191,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Polishing & Buffing",item_type_keyword:jewelry-polishing-buffing-supplies
12896201,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Wax Molding Materials",item_type_keyword:wax-molding-materials
262596011,"Arts, Crafts & Sewing/Beading & Jewelry-Making/Wire",item_type_keyword:jewelry-making-wire
12896361,"Arts, Crafts & Sewing/Cases & Transport",
12896371,"Arts, Crafts & Sewing/Cases & Transport/Art Backpacks",item_type_keyword:artists-backpacks
12896381,"Arts, Crafts & Sewing/Cases & Transport/Art Supply Totes & Carrier Bags",
2933690011,"Arts, Crafts & Sewing/Cases & Transport/Art Supply Totes & Carrier Bags/Art Supply Carrier Bags",item_type_keyword:artists-bags
2933689011,"Arts, Crafts & Sewing/Cases & Transport/Art Supply Totes & Carrier Bags/Art Supply Totes",item_type_keyword:artists-totes
12896391,"Arts, Crafts & Sewing/Cases & Transport/Art Tubes",item_type_keyword:art-carrying-tubes
12896401,"Arts, Crafts & Sewing/Cases & Transport/Canvas Carriers",item_type_keyword:artists-canvas-carriers
12896411,"Arts, Crafts & Sewing/Cases & Transport/Grips & Handles",
2933691011,"Arts, Crafts & Sewing/Cases & Transport/Grips & Handles/Grips",item_type_keyword:art-transport-grips
2933692011,"Arts, Crafts & Sewing/Cases & Transport/Grips & Handles/Handles",item_type_keyword:art-transport-handles
12896421,"Arts, Crafts & Sewing/Cases & Transport/Portfolios",item_type_keyword:artists-portfolios
12896431,"Arts, Crafts & Sewing/Cases & Transport/Tool & Sketch Boxes",item_type_keyword:art-toolboxes
378733011,"Arts, Crafts & Sewing/Craft Supplies",
12890721,"Arts, Crafts & Sewing/Craft Supplies/Adhesives",item_type_keyword:arts-and-crafts-adhesives
12890731,"Arts, Crafts & Sewing/Craft Supplies/Adhesives/Adhesive Sheets & Sprays",
2933693011,"Arts, Crafts & Sewing/Craft Supplies/Adhesives/Adhesive Sheets & Sprays/Adhesive Sheets",item_type_keyword:adhesive-sheets
2933694011,"Arts, Crafts & Sewing/Craft Supplies/Adhesives/Adhesive Sheets & Sprays/Adhesive Sprays",item_type_keyword:adhesive-sprays
12890761,"Arts, Crafts & Sewing/Craft Supplies/Adhesives/Adhesive Waxing",item_type_keyword:adhesive-waxing-supplies
12890741,"Arts, Crafts & Sewing/Craft Supplies/Adhesives/Art Glues & Pastes",
2933695011,"Arts, Crafts & Sewing/Craft Supplies/Adhesives/Art Glues & Pastes/Art Glues",item_type_keyword:arts-and-crafts-glues
2933696011,"Arts, Crafts & Sewing/Craft Supplies/Adhesives/Art Glues & Pastes/Art Pastes",item_type_keyword:arts-and-crafts-pastes
